Timestamp,SliceType,Size_MBits
0.052825,uRLLC,1.572
0.132587,uRLLC,0.824
0.180015,mMTC,0.102
0.194598,mMTC,0.274
0.270164,mMTC,0.179
0.369551,mMTC,0.493
0.378498,mMTC,0.339
0.378949,mMTC,0.255
0.381207,mMTC,0.483
0.382001,uRLLC,1.923
0.409855,mMTC,0.447
0.419363,mMTC,0.130
0.426519,eMBB,6.680
0.465270,mMTC,0.263
0.484881,uRLLC,1.906
0.502799,mMTC,0.143
0.511411,mMTC,0.318
0.534049,uRLLC,1.456
0.548571,mMTC,0.360
0.568270,uRLLC,1.436
0.573854,mMTC,0.172
0.591760,eMBB,10.025
0.597401,mMTC,0.201
0.637856,mMTC,0.350
0.665500,uRLLC,1.044
0.733160,uRLLC,0.787
0.736822,eMBB,6.824
0.750785,mMTC,0.273
0.779076,uRLLC,1.125
0.839438,mMTC,0.262
0.859549,mMTC,0.329
0.935768,uRLLC,1.792
0.952909,mMTC,0.134
0.996140,uRLLC,0.868
0.998383,mMTC,0.458
1.034536,mMTC,0.341
1.037900,mMTC,0.316
1.044817,mMTC,0.346
1.050036,eMBB,12.678
1.056255,eMBB,6.098
1.067417,mMTC,0.306
1.084072,uRLLC,1.766
1.109807,mMTC,0.424
1.128666,uRLLC,1.890
1.145499,mMTC,0.159
1.168170,mMTC,0.446
1.189731,mMTC,0.176
1.200266,eMBB,8.928
1.201960,uRLLC,1.155
1.221723,mMTC,0.265
1.222116,uRLLC,1.854
1.248876,mMTC,0.349
1.253219,mMTC,0.393
1.309986,mMTC,0.430
1.320863,eMBB,5.589
1.331329,mMTC,0.150
1.402587,mMTC,0.418
1.428852,mMTC,0.478
1.438397,mMTC,0.477
1.439149,eMBB,12.630
1.469717,mMTC,0.492
1.481651,uRLLC,0.560
1.482724,uRLLC,1.315
1.485022,uRLLC,1.486
1.536056,uRLLC,1.500
1.574870,uRLLC,0.909
1.613854,eMBB,12.283
1.614647,eMBB,5.993
1.650831,mMTC,0.215
1.677011,mMTC,0.413
1.698870,mMTC,0.470
1.739501,eMBB,10.519
1.762599,mMTC,0.264
1.764455,eMBB,14.908
1.774018,eMBB,6.348
1.774146,uRLLC,1.751
1.780343,uRLLC,1.744
1.834559,mMTC,0.375
1.855329,mMTC,0.278
1.878141,mMTC,0.436
1.883357,uRLLC,0.984
1.898040,mMTC,0.468
1.942424,eMBB,13.075
1.953790,eMBB,5.909
2.055586,eMBB,13.562
2.065881,uRLLC,1.455
2.071205,mMTC,0.161
2.083730,mMTC,0.233
2.098570,mMTC,0.225
2.104873,mMTC,0.250
2.106385,mMTC,0.315
2.252164,mMTC,0.278
2.273823,uRLLC,1.418
2.301093,mMTC,0.394
2.325070,eMBB,8.358
2.388190,mMTC,0.174
2.414401,mMTC,0.395
2.434684,mMTC,0.454
2.454405,uRLLC,0.748
2.471894,uRLLC,0.579
2.533224,mMTC,0.236
2.558206,mMTC,0.208
2.564781,mMTC,0.283
2.578157,mMTC,0.325
2.589487,mMTC,0.305
2.602362,uRLLC,1.058
2.622591,eMBB,5.572
2.722073,eMBB,10.998
2.737627,mMTC,0.470
2.773387,mMTC,0.404
2.807955,uRLLC,1.605
2.959675,mMTC,0.476
2.992542,mMTC,0.364
3.002455,mMTC,0.275
3.013165,uRLLC,1.366
3.035015,uRLLC,0.684
3.052600,uRLLC,0.687
3.070352,uRLLC,1.075
3.073275,uRLLC,1.758
3.102997,mMTC,0.327
3.107755,uRLLC,0.699
3.113510,uRLLC,0.735
3.130035,eMBB,6.045
3.153546,mMTC,0.450
3.197432,mMTC,0.107
3.198700,eMBB,8.841
3.221649,eMBB,8.372
3.307210,mMTC,0.115
3.334370,eMBB,11.101
3.358754,mMTC,0.270
3.366845,eMBB,5.213
3.369508,mMTC,0.278
3.399169,uRLLC,0.799
3.437895,uRLLC,1.501
3.442614,uRLLC,1.033
3.461783,mMTC,0.198
3.476455,eMBB,10.774
3.484410,mMTC,0.451
3.519846,uRLLC,1.751
3.542290,eMBB,6.901
3.556886,uRLLC,1.142
3.582673,mMTC,0.360
3.603874,uRLLC,1.712
3.612641,uRLLC,1.861
3.669602,eMBB,8.194
3.687995,uRLLC,1.212
3.723295,mMTC,0.329
3.731508,mMTC,0.245
3.742883,uRLLC,0.587
3.760120,mMTC,0.231
3.792514,mMTC,0.479
3.828642,uRLLC,0.910
3.833265,eMBB,10.712
3.849171,eMBB,12.962
3.862728,uRLLC,0.673
3.893750,mMTC,0.306
3.895124,mMTC,0.325
3.898070,eMBB,5.310
3.944612,uRLLC,0.875
3.967364,mMTC,0.129
3.982707,uRLLC,1.908
4.005353,mMTC,0.125
4.006945,uRLLC,1.921
4.032038,eMBB,14.085
4.051975,uRLLC,1.602
4.099621,mMTC,0.165
4.170628,uRLLC,1.123
4.193012,mMTC,0.325
4.193150,uRLLC,1.150
4.198547,uRLLC,0.931
4.220941,uRLLC,1.546
4.290430,mMTC,0.320
4.305056,mMTC,0.381
4.313048,mMTC,0.125
4.331157,eMBB,8.758
4.365398,mMTC,0.130
4.398064,mMTC,0.342
4.406070,eMBB,5.215
4.427779,uRLLC,1.230
4.493192,uRLLC,1.780
4.496972,eMBB,10.726
4.539140,uRLLC,1.695
4.584255,eMBB,8.227
4.600376,mMTC,0.362
4.623739,mMTC,0.421
4.683120,mMTC,0.297
4.697438,uRLLC,1.923
4.725543,mMTC,0.354
4.745355,eMBB,12.819
4.749496,mMTC,0.224
4.765579,uRLLC,1.510
4.769253,mMTC,0.133
4.786244,mMTC,0.379
4.788304,uRLLC,1.370
4.821168,mMTC,0.314
4.853913,uRLLC,1.716
4.983769,mMTC,0.377
5.002696,eMBB,12.514
5.064671,mMTC,0.236
5.074395,uRLLC,0.518
5.079076,uRLLC,1.943
5.084281,mMTC,0.149
5.089989,mMTC,0.307
5.122024,uRLLC,1.751
5.142695,mMTC,0.234
5.178513,uRLLC,0.782
5.203028,mMTC,0.148
5.205490,uRLLC,1.309
5.244082,uRLLC,0.845
5.260107,mMTC,0.259
5.356680,eMBB,7.718
5.367810,uRLLC,1.606
5.380174,uRLLC,0.773
5.381799,mMTC,0.136
5.414337,mMTC,0.133
5.476621,uRLLC,1.753
5.483436,eMBB,13.434
5.494251,uRLLC,0.663
5.514950,uRLLC,1.463
5.580202,mMTC,0.237
5.587107,mMTC,0.298
5.596822,uRLLC,1.282
5.611233,uRLLC,0.957
